trial_id,K_true,noise_sd,method,K_selected,ARI,cent_rmse,cov_err,elapsed_sec
138,6,0.1,vb_pred,12,1,1.53797213519405,16.9955000200949,195.293924
139,6,0.1,kmeans_sil,10,0.990464527475968,NaN,NaN,69.630369
139,6,0.1,vb_elbo,6,0.949232702403836,0.0282592754044262,0.81736614043077,132.68317
139,6,0.1,vb_icl,6,0.949232702403836,0.0282592754044262,0.81736614043077,0
139,6,0.1,vb_pred,9,0.932545003976913,0.0282592754044262,0.81736614043077,71.622645
140,6,0.1,kmeans_sil,10,0.990041623011671,NaN,NaN,83.799488
140,6,0.1,vb_elbo,6,0.960693757874668,0.0261979130838888,0.93076630220971,139.003863
140,6,0.1,vb_icl,6,0.960693757874668,0.0261979130838888,0.93076630220971,0
140,6,0.1,vb_pred,11,1,2.76565056215568,16.8531663377319,341.925157
141,7,0.1,kmeans_sil,10,0.98744552516223,NaN,NaN,71.787441
141,7,0.1,vb_elbo,7,0.941275275434135,0.0331609546652938,1.33698705858445,111.788704
141,7,0.1,vb_icl,7,0.941275275434135,0.0331609546652938,1.33698705858445,0
141,7,0.1,vb_pred,10,1,3.26424562713073,15.5856850006878,92.18965
142,7,0.1,kmeans_sil,10,0.988819405197898,NaN,NaN,61.374565
142,7,0.1,vb_elbo,7,0.945111796098272,0.0329329988043845,1.44477615227297,64.937838
142,7,0.1,vb_icl,7,0.945111796098272,0.0329329988043845,1.44477615227297,0
142,7,0.1,vb_pred,12,1,1.37223404363375,1.44477615227297,77.481488
143,7,0.1,kmeans_sil,10,0.990580341879718,NaN,NaN,118.592276
143,7,0.1,vb_elbo,7,0.938315186975264,0.0288070090021798,0.858608758826175,185.307483
143,7,0.1,vb_icl,7,0.938315186975264,0.0288070090021798,0.858608758826175,0
143,7,0.1,vb_pred,10,0.997295168398723,2.05130387937762,0.858608758826176,232.017381
144,7,0.1,kmeans_sil,10,0.990169491701498,NaN,NaN,33.334316
144,7,0.1,vb_elbo,7,0.958147315847203,0.0407984062636502,1.91304016911976,68.962412
144,7,0.1,vb_icl,7,0.931144627794834,0.0407984062636502,1.91304016911976,0
